1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q3,-16737.00,-17.00,0.00,495.00,-3414.00,-2750.00,182.00,1236.00,-4168.00,-318.00,-694.00,-2993.00,-7046.00,7848.00,-802.00
1970:Q4,8378.00,-11.00,0.00,-1049.00,800.00,9933.00,-16.00,-72.00,10020.00,6307.00,-1351.00,-9090.00,2839.00,196.00,-3035.00
1971:Q1,-13730.00,-23.00,0.00,815.00,1017.00,-7169.00,-537.00,-1261.00,-5371.00,-2599.00,-434.00,-1832.00,-3505.00,918.00,2587.00
1971:Q2,-4164.00,-7.00,0.00,-85.00,1500.00,3452.00,140.00,159.00,3153.00,-175.00,1946.00,-6876.00,-3919.00,1669.00,2250.00
1971:Q3,-12691.00,-13.00,0.00,-1421.00,-3613.00,-4772.00,132.00,-608.00,-4296.00,-1384.00,340.00,4799.00,-6627.00,7560.00,-933.00
1971:Q4,7438.00,55.00,0.00,-1387.00,2292.00,9031.00,-108.00,628.00,8511.00,7550.00,-442.00,-13903.00,4242.00,-666.00,-3576.00
1972:Q1,-14029.00,-95.00,0.00,-2414.00,253.00,-5312.00,812.00,24.00,-6147.00,-7480.00,-1177.00,3926.00,-1730.00,-1153.00,2883.00
1972:Q2,110.00,-18.00,0.00,1593.00,1986.00,3995.00,-650.00,74.00,4571.00,-2653.00,2924.00,-3491.00,-4226.00,1760.00,2466.00
1972:Q3,-14827.00,-23.00,0.00,-2588.00,-2269.00,-4983.00,476.00,32.00,-5491.00,1409.00,741.00,212.00,-7325.00,8237.00,-912.00
1972:Q4,1047.00,-17.00,0.00,-2538.00,2160.00,11561.00,-60.00,25.00,11596.00,7337.00,-20.00,-23211.00,5775.00,-1712.00,-4063.00
1973:Q1,-21826.00,-19.00,0.00,1195.00,-1783.00,-8702.00,444.00,33.00,-9179.00,-10821.00,-288.00,1793.00,-3201.00,-206.00,3407.00
1973:Q2,4215.00,82.00,0.00,-1581.00,1963.00,4365.00,-490.00,48.00,4807.00,-32.00,3225.00,-26.00,-3782.00,1179.00,2603.00
1973:Q3,-5760.00,-19.00,0.00,3952.00,-3333.00,-5683.00,69.00,83.00,-5835.00,-3491.00,216.00,7613.00,-5015.00,5982.00,-967.00
1973:Q4,10922.00,-25.00,0.00,-2941.00,-188.00,9910.00,227.00,124.00,9559.00,12970.00,-843.00,-13319.00,5359.00,-858.00,-4501.00
1974:Q1,-18058.00,3.00,0.00,-365.00,-4027.00,-9591.00,183.00,109.00,-9882.00,-10623.00,2096.00,6292.00,-1843.00,-1104.00,2947.00
1974:Q2,15812.00,-14.00,0.00,4086.00,8067.00,5260.00,-753.00,34.00,5978.00,-3566.00,4002.00,1071.00,-3094.00,464.00,2630.00
1974:Q3,2345.00,-42.00,0.00,939.00,-3459.00,-6943.00,664.00,-31.00,-7576.00,2151.00,1578.00,11677.00,-3556.00,4459.00,-903.00
1974:Q4,11235.00,-38.00,0.00,-2821.00,6850.00,11649.00,-159.00,-97.00,11904.00,13081.00,-337.00,-17682.00,534.00,3571.00,-4105.00
1975:Q1,-6837.00,-34.00,57.00,20.00,-3518.00,-10092.00,-983.00,-116.00,-8993.00,-23023.00,-320.00,35099.00,-5026.00,2097.00,2929.00
1975:Q2,12365.00,-23.00,231.00,-4002.00,556.00,3358.00,-898.00,-91.00,4347.00,-5499.00,2036.00,20534.00,-4826.00,1988.00,2838.00
1975:Q3,1981.00,-48.00,429.00,3489.00,926.00,-6402.00,-112.00,-75.00,-6215.00,-4356.00,-581.00,14778.00,-6254.00,7256.00,-1002.00
1975:Q4,11726.00,-24.00,-362.00,-4221.00,-1451.00,14817.00,2033.00,-79.00,12863.00,26193.00,-2218.00,-23297.00,2290.00,1888.00,-4178.00
1976:Q1,5529.00,-37.00,96.00,2099.00,2037.00,-8402.00,334.00,-65.00,-8670.00,-25274.00,-565.00,41260.00,-5686.00,2361.00,3325.00
1976:Q2,-5472.00,184.00,397.00,-374.00,2660.00,1428.00,-473.00,-35.00,1936.00,-5066.00,2104.00,-785.00,-6020.00,2854.00,3166.00
1976:Q3,-5023.00,-228.00,411.00,1076.00,5185.00,-7391.00,-994.00,6.00,-6403.00,-6009.00,-449.00,10629.00,-8247.00,9666.00,-1419.00
1976:Q4,4130.00,-32.00,-52.00,-3590.00,-2183.00,14092.00,275.00,43.00,13774.00,28215.00,-1617.00,-29553.00,-1149.00,5582.00,-4433.00
1977:Q1,-12827.00,-130.00,388.00,-1348.00,6228.00,-6942.00,817.00,55.00,-7813.00,-18425.00,211.00,17049.00,-9859.00,5890.00,3969.00
1977:Q2,6050.00,-25.00,524.00,1319.00,-1554.00,2171.00,-375.00,37.00,2508.00,-3727.00,3820.00,8677.00,-5155.00,1545.00,3610.00
1977:Q3,-24611.00,-26.00,-944.00,-2947.00,2331.00,-5620.00,218.00,33.00,-5871.00,-12667.00,-673.00,5127.00,-9192.00,10317.00,-1125.00
1977:Q4,7025.00,-80.00,-914.00,-3828.00,-3149.00,13558.00,719.00,34.00,12805.00,24488.00,-658.00,-26584.00,4192.00,1503.00,-5695.00
1978:Q1,-5303.00,26.00,-367.00,4851.00,12981.00,-9823.00,-588.00,29.00,-9264.00,-22674.00,-437.00,10599.00,-459.00,-4725.00,5184.00
