1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q3,-20937.00,-29626.00,14205.00,13478.00,-13473.00,5845.00,352.00,8354.00,-416.00,186.00,-58.00,-1068.00,601.00,16.00,-35.00,0.00,-301.00,-39.00,-379.00,-1368.00,-11365.00
1972:Q4,-42202.00,11166.00,-66118.00,-1907.00,15316.00,-1177.00,606.00,7425.00,-1534.00,1.00,-17.00,-439.00,-5334.00,-164.00,159.00,0.00,-82.00,11.00,-374.00,-1435.00,518.00
1973:Q1,-20319.00,-34806.00,42218.00,-10684.00,-3552.00,-2138.00,-1310.00,470.00,-2811.00,7.00,107.00,58.00,3069.00,24.00,133.00,0.00,-150.00,35.00,-330.00,-1440.00,-11357.00
1973:Q2,-35020.00,-83073.00,38305.00,7360.00,-1018.00,-2538.00,-68.00,-2442.00,2100.00,7.00,111.00,5.00,-4.00,-208.00,256.00,0.00,-430.00,33.00,-371.00,-1527.00,5944.00
1973:Q3,11991.00,-16198.00,35431.00,10149.00,-10649.00,-3563.00,-177.00,-3120.00,674.00,490.00,22.00,-527.00,1258.00,-480.00,191.00,0.00,-135.00,116.00,-291.00,-1584.00,-3179.00
1973:Q4,-6447.00,-15355.00,4078.00,-8761.00,8920.00,-9176.00,1583.00,-4003.00,663.00,491.00,74.00,-661.00,-5410.00,-384.00,428.00,0.00,-360.00,142.00,-169.00,-1571.00,13847.00
1974:Q1,-3213.00,-21135.00,37939.00,3069.00,-2097.00,11557.00,-1664.00,12757.00,2327.00,-489.00,345.00,-659.00,1371.00,-380.00,386.00,0.00,-433.00,164.00,-312.00,-1855.00,-32546.00
1974:Q2,13162.00,-28265.00,20756.00,11051.00,-384.00,-7986.00,-245.00,-2153.00,-4369.00,-497.00,365.00,-15.00,2109.00,-332.00,355.00,0.00,-1228.00,152.00,-246.00,-1882.00,17989.00
1974:Q3,33657.00,22541.00,-8155.00,2046.00,-6840.00,17550.00,-169.00,9842.00,6177.00,-224.00,276.00,538.00,4367.00,-188.00,234.00,0.00,-1373.00,205.00,-266.00,-1869.00,6515.00
1974:Q4,1718.00,-641.00,-7490.00,-12605.00,27176.00,-5966.00,2049.00,-4386.00,1710.00,448.00,316.00,1300.00,-5375.00,24.00,550.00,0.00,-846.00,360.00,-252.00,-1864.00,1244.00
1975:Q1,-14239.00,-48969.00,24899.00,683.00,-6704.00,11597.00,-1132.00,10833.00,1109.00,1.00,10.00,-865.00,3851.00,-64.00,214.00,0.00,-896.00,432.00,-176.00,-1720.00,4255.00
1975:Q2,12452.00,-59727.00,71790.00,-3725.00,-4407.00,1198.00,-502.00,4351.00,-1865.00,-6.00,-24.00,-197.00,2069.00,-68.00,-557.00,0.00,-596.00,389.00,-207.00,-1588.00,7322.00
1975:Q3,53229.00,-3324.00,61684.00,4259.00,-15814.00,18361.00,53.00,15418.00,3971.00,250.00,-114.00,-971.00,1737.00,-152.00,-449.00,0.00,-21.00,449.00,-265.00,-1545.00,-11937.00
1975:Q4,25496.00,-24763.00,48868.00,-2628.00,14720.00,-20286.00,1957.00,-11310.00,-57.00,254.00,-65.00,-3280.00,-4643.00,-112.00,1227.00,0.00,-318.00,428.00,-211.00,-4157.00,9585.00
1976:Q1,30221.00,-21122.00,33621.00,537.00,-4059.00,11612.00,-2073.00,19060.00,1062.00,142.00,32.00,-6159.00,2764.00,-148.00,304.00,0.00,-1788.00,478.00,-442.00,-1619.00,9632.00
1976:Q2,-58737.00,-92565.00,-12306.00,15284.00,1673.00,4019.00,-108.00,3034.00,-896.00,154.00,47.00,-482.00,5336.00,-168.00,-349.00,0.00,-1235.00,477.00,-163.00,-1628.00,25158.00
1976:Q3,25094.00,-4636.00,57123.00,-5617.00,-9125.00,1096.00,-191.00,4078.00,-523.00,-259.00,0.00,-4543.00,5045.00,-288.00,27.00,0.00,-958.00,451.00,-85.00,-1659.00,-13746.00
1976:Q4,78.00,-56613.00,55938.00,-3763.00,4926.00,-23820.00,1753.00,-15486.00,3558.00,-231.00,73.00,-3425.00,-8631.00,-244.00,490.00,0.00,-63.00,414.00,-80.00,-1949.00,23410.00
1977:Q1,-43937.00,-70339.00,14599.00,9201.00,-11064.00,14619.00,-1943.00,18024.00,-355.00,703.00,642.00,-2919.00,4562.00,-232.00,-533.00,0.00,-1543.00,350.00,-352.00,-1785.00,-953.00
1977:Q2,-7507.00,-30212.00,33940.00,-715.00,-8553.00,-8718.00,3.00,-5124.00,89.00,834.00,631.00,-2109.00,1780.00,-276.00,-101.00,0.00,-1669.00,-602.00,-248.00,-1926.00,6751.00
1977:Q3,-41319.00,-31608.00,20072.00,1868.00,-13034.00,11857.00,12.00,3328.00,7065.00,106.00,591.00,-2533.00,5978.00,-316.00,274.00,0.00,-691.00,455.00,-288.00,-2124.00,-30474.00
1977:Q4,-4692.00,-22151.00,34974.00,18138.00,-1973.00,-18132.00,2022.00,-12102.00,967.00,30.00,641.00,-3046.00,-5018.00,-172.00,1089.00,0.00,-1550.00,1398.00,-299.00,-2092.00,-15548.00
1978:Q1,-16680.00,-51647.00,27064.00,-5004.00,995.00,14804.00,-1780.00,14870.00,-785.00,299.00,193.00,1177.00,4137.00,-28.00,606.00,0.00,-2219.00,408.00,-430.00,-1644.00,-2893.00
1978:Q2,51665.00,-19111.00,74119.00,-1531.00,-9498.00,-2253.00,570.00,-6071.00,-1040.00,306.00,129.00,2494.00,5031.00,52.00,505.00,0.00,-2032.00,421.00,-537.00,-2082.00,9940.00
1978:Q3,407.00,-16857.00,64494.00,-3178.00,-5938.00,-5381.00,497.00,-4775.00,5116.00,221.00,-26.00,-4413.00,2269.00,32.00,593.00,0.00,-2608.00,429.00,-444.00,-2272.00,-32733.00
1978:Q4,-4595.00,-13630.00,13938.00,12919.00,-1012.00,-28661.00,2685.00,-26137.00,5610.00,273.00,-113.00,-4745.00,-3480.00,68.00,1796.00,0.00,-2427.00,458.00,-276.00,-2374.00,11851.00
1979:Q1,95038.00,12815.00,69010.00,-2500.00,-2996.00,15091.00,-2711.00,15213.00,3942.00,337.00,144.00,34.00,4004.00,28.00,792.00,0.00,-2326.00,567.00,-817.00,-4115.00,3618.00
1979:Q2,31023.00,-16730.00,41997.00,-5882.00,-9108.00,-25417.00,29.00,-16246.00,-6453.00,284.00,78.00,3924.00,-1018.00,-16.00,40.00,0.00,-1667.00,587.00,-683.00,-4276.00,46164.00
1979:Q3,58976.00,-14423.00,78336.00,12584.00,-2891.00,-18142.00,-97.00,-19418.00,4927.00,1292.00,-92.00,-769.00,1986.00,-272.00,477.00,0.00,-1034.00,635.00,-1265.00,-4512.00,3511.00
1979:Q4,-19904.00,-98259.00,69210.00,-3764.00,-5051.00,-21335.00,2765.00,-15662.00,6146.00,1356.00,-299.00,-1533.00,-5323.00,-408.00,2881.00,0.00,-6296.00,671.00,-1545.00,-4088.00,39295.00
1980:Q1,11422.00,-17865.00,50340.00,-11483.00,-4615.00,-18578.00,-1763.00,-15276.00,38.00,307.00,144.00,4285.00,-1239.00,396.00,-698.00,0.00,1711.00,646.00,-1942.00,-5187.00,13623.00
1980:Q2,-82615.00,-157175.00,83729.00,28213.00,-11231.00,-58598.00,-193.00,-21888.00,-26566.00,305.00,206.00,4934.00,4578.00,176.00,1049.00,0.00,-13677.00,610.00,-3398.00,-4735.00,32446.00
1980:Q3,-84077.00,-98825.00,29639.00,1224.00,-14539.00,-17386.00,-46.00,-23262.00,14598.00,306.00,-318.00,1256.00,2840.00,1080.00,634.00,0.00,-7885.00,683.00,-2561.00,-4711.00,15810.00
1980:Q4,-59690.00,-61620.00,43710.00,-34381.00,6168.00,-35060.00,1670.00,-33239.00,3847.00,308.00,-100.00,-2010.00,-1621.00,972.00,557.00,0.00,137.00,711.00,-1519.00,-4773.00,21493.00
1981:Q1,-29587.00,-86440.00,3350.00,14826.00,3362.00,4045.00,-1742.00,-7365.00,14144.00,-245.00,548.00,-117.00,6718.00,1216.00,1148.00,0.00,-3021.00,645.00,-2564.00,-5321.00,31270.00
1981:Q2,-128252.00,-109718.00,14668.00,12491.00,-23489.00,-37077.00,157.00,-19008.00,-13812.00,23.00,188.00,2129.00,1218.00,1608.00,92.00,0.00,-1096.00,675.00,-3352.00,-5899.00,14873.00
1981:Q3,-98767.00,-141940.00,25152.00,17847.00,-4129.00,6460.00,332.00,-14575.00,23828.00,166.00,-376.00,-2148.00,8236.00,1612.00,1255.00,0.00,-4978.00,715.00,-1805.00,-5803.00,-2157.00
1981:Q4,-2325.00,-74158.00,29516.00,6672.00,13310.00,24950.00,1817.00,60548.00,-27938.00,206.00,-53.00,1979.00,-2021.00,1984.00,2451.00,0.00,-4386.00,777.00,-4048.00,-6366.00,-2615.00
