1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q3,704776.00,676143.00,3203.00,1493.00,23937.00,704776.00,615196.00,23084.00,17271.00,5813.00,590.00,42077.00,11189.00,9680.00,660.00,0.00,0.00,849.00,0.00,12640.00
1973:Q4,716793.00,687395.00,3376.00,1567.00,24455.00,716793.00,624850.00,22836.00,16623.00,6213.00,439.00,43585.00,11691.00,10027.00,800.00,0.00,0.00,864.00,0.00,13392.00
1974:Q1,742706.00,712183.00,3458.00,1555.00,25510.00,742706.00,646310.00,25526.00,18791.00,6735.00,590.00,45074.00,12276.00,10444.00,887.00,67.00,0.00,878.00,0.00,12930.00
1974:Q2,765395.00,733608.00,3647.00,1541.00,26599.00,765395.00,663872.00,26384.00,19179.00,7205.00,446.00,46528.00,13159.00,10873.00,1183.00,210.00,0.00,893.00,0.00,15006.00
1974:Q3,776619.00,744243.00,4176.00,1566.00,26634.00,776619.00,670156.00,26591.00,19045.00,7546.00,490.00,46098.00,14397.00,11331.00,1373.00,786.00,0.00,907.00,0.00,18887.00
1974:Q4,795472.00,761931.00,4500.00,1587.00,27454.00,795472.00,681039.00,28248.00,20464.00,7784.00,477.00,48544.00,16041.00,11957.00,1543.00,1620.00,0.00,921.00,0.00,21123.00
1975:Q1,822810.00,787232.00,4679.00,1662.00,29237.00,822810.00,708884.00,27638.00,19761.00,7877.00,650.00,46854.00,17567.00,12495.00,1811.00,2326.00,0.00,935.00,0.00,21217.00
1975:Q2,844694.00,806750.00,5179.00,1738.00,31027.00,844694.00,727385.00,29922.00,21958.00,7964.00,492.00,46531.00,18319.00,13151.00,1688.00,2532.00,0.00,948.00,0.00,22045.00
1975:Q3,861883.00,822215.00,6143.00,1821.00,31704.00,861883.00,742259.00,32325.00,24292.00,8033.00,650.00,45876.00,18444.00,13832.00,1342.00,2308.00,0.00,962.00,0.00,22329.00
1975:Q4,884715.00,841989.00,7884.00,1905.00,32937.00,884715.00,762165.00,32218.00,24130.00,8088.00,572.00,46942.00,20239.00,14454.00,1171.00,2139.00,0.00,975.00,1500.00,22579.00
1976:Q1,914589.00,870590.00,7270.00,1898.00,34831.00,914589.00,790700.00,33151.00,24945.00,8206.00,620.00,48381.00,20552.00,15095.00,1065.00,1705.00,0.00,987.00,1700.00,21185.00
1976:Q2,936971.00,890940.00,7630.00,1888.00,36513.00,936971.00,813974.00,34764.00,26347.00,8417.00,724.00,45411.00,21348.00,15646.00,1133.00,1669.00,0.00,1000.00,1900.00,20750.00
1976:Q3,957201.00,910013.00,8002.00,1953.00,37233.00,957201.00,834021.00,34321.00,25462.00,8859.00,570.00,46481.00,21793.00,16096.00,1055.00,1530.00,0.00,1012.00,2100.00,20015.00
1976:Q4,992370.00,943363.00,8266.00,2019.00,38722.00,992370.00,853592.00,38273.00,28783.00,9490.00,731.00,49064.00,22858.00,16639.00,1148.00,1487.00,0.00,1024.00,2560.00,27852.00
1977:Q1,1030758.00,978958.00,8542.00,2266.00,40992.00,1030758.00,888745.00,37906.00,27955.00,9951.00,590.00,51802.00,23689.00,17300.00,1098.00,1455.00,0.00,1036.00,2800.00,28026.00
1977:Q2,1055163.00,1000769.00,8872.00,2566.00,42956.00,1055163.00,909367.00,39781.00,29290.00,10491.00,810.00,50471.00,25251.00,18034.00,1401.00,1569.00,0.00,1047.00,3200.00,29483.00
1977:Q3,1084311.00,1028143.00,9006.00,2811.00,44351.00,1084311.00,935033.00,41126.00,29897.00,11229.00,760.00,52759.00,26519.00,18821.00,1483.00,1556.00,0.00,1059.00,3600.00,28114.00
1977:Q4,1116191.00,1056626.00,10482.00,3025.00,46058.00,1116191.00,955062.00,47583.00,35456.00,12127.00,878.00,55766.00,27993.00,19644.00,1416.00,1793.00,0.00,1070.00,4070.00,28909.00
1978:Q1,1154015.00,1090446.00,11384.00,3414.00,48771.00,1154015.00,984722.00,47745.00,35080.00,12665.00,690.00,59578.00,30688.00,20592.00,1758.00,2658.00,0.00,1080.00,4600.00,30592.00
1978:Q2,1178943.00,1112365.00,11895.00,3927.00,50756.00,1178943.00,1006054.00,48713.00,35386.00,13327.00,1051.00,58731.00,33039.00,21590.00,2043.00,3115.00,0.00,1091.00,5200.00,31355.00
