1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q3,25507718.00,10440411.00,7588417.00,2187446.00,7448133.00,4954725.00,5173475.00,2445699.00,12283977.00,1223302.00
2004:Q4,26103100.00,10807812.00,7859069.00,2220119.00,7561909.00,5005660.00,5250883.00,2482496.00,12643862.00,1285201.00
2005:Q1,26631954.00,11038464.00,8065298.00,2248511.00,7705613.00,5069848.00,5352908.00,2534969.00,12889245.00,1304194.00
2005:Q2,27227846.00,11358052.00,8342462.00,2276583.00,7842862.00,5121586.00,5446929.00,2580002.00,13194488.00,1331591.00
2005:Q3,27769658.00,11669588.00,8628942.00,2300822.00,7975943.00,5167169.00,5502074.00,2622053.00,13278879.00,1356077.00
2005:Q4,28349565.00,11952949.00,8912709.00,2320555.00,8162404.00,5264370.00,5584775.00,2649437.00,13705872.00,1350547.00
2006:Q1,29062694.00,12347553.00,9206225.00,2385808.00,8373428.00,5372299.00,5690834.00,2650878.00,14064610.00,1374002.00
2006:Q2,29724150.00,12699269.00,9513277.00,2395813.00,8567717.00,5461241.00,5769608.00,2687556.00,14456930.00,1451609.00
2006:Q3,30175906.00,12977924.00,9748096.00,2426814.00,8699218.00,5489477.00,5773590.00,2725173.00,14712806.00,1550474.00
2006:Q4,30781482.00,13232530.00,9910250.00,2456716.00,8978639.00,5665208.00,5803923.00,2766390.00,15093312.00,1657889.00
2007:Q1,31414557.00,13452493.00,10111964.00,2488297.00,9234398.00,5804012.00,5907940.00,2819725.00,15659459.00,1703828.00
2007:Q2,32080779.00,13757618.00,10315598.00,2522996.00,9524693.00,5980641.00,5930572.00,2867896.00,16103858.00,1819049.00
2007:Q3,32695933.00,13956292.00,10497344.00,2571129.00,9836141.00,6176731.00,6001473.00,2902027.00,16759846.00,1912616.00
2007:Q4,33259716.00,14151423.00,10613082.00,2609880.00,10100272.00,6325148.00,6074315.00,2933706.00,17271089.00,1996631.00
2008:Q1,33831514.00,14318602.00,10682611.00,2649579.00,10331118.00,6469101.00,6229902.00,2951891.00,17645558.00,2011824.00
2008:Q2,34062858.00,14252997.00,10684326.00,2665615.00,10524201.00,6576060.00,6325304.00,2960355.00,17882736.00,1936259.00
2008:Q3,34804082.00,14348338.00,10660757.00,2659134.00,10663726.00,6643440.00,6822181.00,2969837.00,18176201.00,1699926.00
2008:Q4,35064685.00,14037770.00,10595546.00,2644184.00,10680277.00,6586285.00,7376817.00,2969821.00,17987647.00,1604415.00
2009:Q1,35304956.00,13894213.00,10588767.00,2624140.00,10627143.00,6545741.00,7791835.00,2991765.00,17891681.00,1607985.00
2009:Q2,35695050.00,13875146.00,10556931.00,2592514.00,10523576.00,6473165.00,8266574.00,3029755.00,17324487.00,1748657.00
2009:Q3,35892899.00,13831541.00,10496703.00,2574614.00,10376931.00,6358862.00,8624222.00,3060205.00,16910928.00,1899151.00
2009:Q4,35937773.00,13800446.00,10453638.00,2555390.00,10153734.00,6168353.00,8882645.00,3100948.00,16537492.00,2005944.00
2010:Q1,36294214.00,13715687.00,10314165.00,2537813.00,10139281.00,6164515.00,9314558.00,3124688.00,15761763.00,2066982.00
2010:Q2,36655749.00,13685444.00,10257581.00,2520871.00,10052346.00,6084967.00,9792693.00,3125266.00,15485281.00,2055516.00
2010:Q3,37039776.00,13619925.00,10176848.00,2520131.00,10102125.00,6137852.00,10178962.00,3138764.00,15293858.00,2194428.00
2010:Q4,37272201.00,13563937.00,9970954.00,2647203.00,10003161.00,6052299.00,10528562.00,3176541.00,15323004.00,2257908.00
2011:Q1,37488642.00,13562432.00,9916618.00,2672782.00,10031556.00,6096451.00,10739838.00,3154816.00,15262552.00,2348682.00
2011:Q2,37602003.00,13490755.00,9866468.00,2695366.00,10099853.00,6182275.00,10884478.00,3126917.00,15144236.00,2476915.00
2011:Q3,38072135.00,13383402.00,9809854.00,2720459.00,10181048.00,6281203.00,11381015.00,3126670.00,15054644.00,2456760.00
2011:Q4,38432570.00,13371448.00,9756041.00,2758267.00,10263837.00,6377228.00,11667250.00,3130035.00,14908295.00,2484936.00
2012:Q1,38898890.00,13409701.00,9706987.00,2791401.00,10349512.00,6420792.00,12013310.00,3126368.00,14821217.00,2526054.00
2012:Q2,39375439.00,13433802.00,9654235.00,2836999.00,10433965.00,6459929.00,12369510.00,3138162.00,14652807.00,2555333.00
2012:Q3,39745655.00,13372987.00,9596728.00,2873262.00,10595865.00,6579243.00,12637858.00,3138944.00,14759596.00,2718482.00
2012:Q4,40185788.00,13439627.00,9550074.00,2920354.00,10773451.00,6715958.00,12847828.00,3124882.00,14697246.00,2834013.00
2013:Q1,40609638.00,13454750.00,9516087.00,2965729.00,10869139.00,6789981.00,13160986.00,3124764.00,14669807.00,2891228.00
2013:Q2,40785294.00,13464085.00,9485045.00,3003456.00,10987765.00,6880546.00,13223191.00,3110253.00,14706988.00,2825995.00
2013:Q3,41116470.00,13546867.00,9480037.00,3051935.00,11170253.00,7036236.00,13309404.00,3089946.00,14690816.00,2897832.00
2013:Q4,41620204.00,13592563.00,9467034.00,3096199.00,11253232.00,7091161.00,13705127.00,3069282.00,14887477.00,2957824.00
2014:Q1,42049918.00,13647885.00,9451405.00,3148528.00,11424647.00,7195159.00,13925460.00,3051926.00,14858804.00,3035802.00
2014:Q2,42471821.00,13800682.00,9444603.00,3208646.00,11567580.00,7268052.00,14054299.00,3049260.00,14934927.00,3209136.00
2014:Q3,42995547.00,13885212.00,9436315.00,3265270.00,11750335.00,7379955.00,14331087.00,3028913.00,15071366.00,3158717.00
2014:Q4,43373609.00,13955923.00,9454889.00,3317991.00,11942417.00,7499020.00,14441054.00,3034215.00,15191653.00,3206161.00
2015:Q1,43649775.00,14009401.00,9445320.00,3368960.00,12162316.00,7657553.00,14431571.00,3046487.00,15134999.00,3228043.00
2015:Q2,44116202.00,14131764.00,9480333.00,3435620.00,12404727.00,7818063.00,14529356.00,3050355.00,15204284.00,3195439.00
2015:Q3,44400080.00,14168660.00,9504344.00,3496646.00,12574883.00,7928102.00,14604414.00,3052123.00,15269436.00,3118273.00
2015:Q4,45252131.00,14290286.00,9536223.00,3535728.00,12753173.00,8008816.00,15165626.00,3043046.00,15227127.00,3079905.00
2016:Q1,45846265.00,14365079.00,9566070.00,3584915.00,13053980.00,8225636.00,15378611.00,3048596.00,15374907.00,3144209.00
2016:Q2,46334241.00,14513255.00,9618943.00,3642143.00,13184551.00,8283159.00,15571224.00,3065211.00,15511679.00,3174441.00
2016:Q3,46976964.00,14623593.00,9683722.00,3707497.00,13390188.00,8411208.00,15892377.00,3070805.00,15641251.00,3180806.00
2016:Q4,47307316.00,14756093.00,9753660.00,3764684.00,13470815.00,8423953.00,16008291.00,3072117.00,15651050.00,3120528.00
