1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,1246223.00,0.00,71883.00,115230.00,0.00,99195.00,70225.00,959.00,21900.00,6111.00,25209.00,882.00,24327.00,0.00,287591.00,9046.00,0.00,72724.00,191968.00,133727.00,58241.00,360829.00,12548.00,159600.00,0.00,156401.00,98745.00,46580.00,1181.00,7034.00,2861.00,1530.00,1669.00
1957:Q1,1248996.00,0.00,70827.00,118462.00,0.00,101202.00,70878.00,933.00,22537.00,6854.00,25686.00,815.00,24871.00,0.00,274073.00,9106.00,0.00,73468.00,199016.00,139416.00,59600.00,364484.00,12672.00,160761.00,0.00,157484.00,100851.00,45242.00,1507.00,7006.00,2878.00,1563.00,1714.00
1957:Q2,1279349.00,0.00,68709.00,121985.00,0.00,101750.00,70743.00,1154.00,22812.00,7041.00,26147.00,814.00,25333.00,0.00,290373.00,9687.00,0.00,74135.00,206575.00,144309.00,62266.00,367235.00,12753.00,165828.00,0.00,162474.00,103039.00,47223.00,1972.00,7317.00,2923.00,1594.00,1760.00
1957:Q3,1271793.00,0.00,71361.00,123872.00,0.00,103628.00,71650.00,1100.00,23526.00,7352.00,26676.00,833.00,25843.00,0.00,264793.00,9001.00,0.00,74784.00,214010.00,150604.00,63406.00,370840.00,12828.00,168971.00,0.00,165542.00,105397.00,47971.00,1724.00,7327.00,3123.00,1625.00,1804.00
1957:Q4,1287201.00,0.00,71024.00,127167.00,0.00,103997.00,71507.00,1463.00,23851.00,7176.00,27177.00,894.00,26283.00,0.00,266234.00,8714.00,0.00,75462.00,221333.00,156743.00,64590.00,373182.00,12911.00,172076.00,0.00,168575.00,107374.00,49217.00,1568.00,7160.00,3256.00,1658.00,1843.00
1958:Q1,1318627.00,0.00,70884.00,130705.00,0.00,104522.00,70949.00,1208.00,24382.00,7983.00,27701.00,951.00,26750.00,0.00,280386.00,9463.00,0.00,76183.00,226766.00,160068.00,66698.00,378990.00,13027.00,171212.00,0.00,167641.00,108975.00,46775.00,762.00,7550.00,3579.00,1694.00,1877.00
1958:Q2,1343400.00,0.00,67351.00,134835.00,0.00,102628.00,71186.00,824.00,23317.00,7301.00,28584.00,1045.00,27539.00,0.00,294788.00,10610.00,0.00,76958.00,232144.00,163033.00,69111.00,382457.00,13045.00,174783.00,0.00,171149.00,111142.00,47704.00,333.00,8111.00,3859.00,1731.00,1903.00
1958:Q3,1390434.00,0.00,72831.00,137708.00,0.00,100997.00,68645.00,798.00,23794.00,7760.00,29284.00,1116.00,28168.00,0.00,323591.00,11791.00,0.00,77752.00,237630.00,165658.00,71972.00,385686.00,13164.00,178359.00,0.00,174659.00,114035.00,47940.00,472.00,8280.00,3932.00,1769.00,1931.00
1958:Q4,1416089.00,0.00,73738.00,141266.00,0.00,102011.00,68638.00,833.00,24616.00,7924.00,30043.00,1156.00,28887.00,0.00,333401.00,13242.00,0.00,78535.00,243343.00,168396.00,74947.00,387268.00,13242.00,184149.00,0.00,180371.00,117177.00,49490.00,1239.00,8591.00,3874.00,1809.00,1969.00
1959:Q1,1434740.00,0.00,73282.00,143832.00,0.00,104576.00,69977.00,917.00,25460.00,8222.00,30602.00,1272.00,29330.00,0.00,339692.00,14132.00,0.00,79331.00,247721.00,170714.00,77007.00,388193.00,13379.00,186644.00,0.00,182567.00,119935.00,48991.00,781.00,8742.00,4118.00,2060.00,2017.00
