1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q1,1044.00,0.00,0.00,1044.00,1044.00,0.00,0.00,0.00,0.00,0.00,0.00,1044.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1044.00,0.00,0.00,1044.00
1962:Q2,-47.00,0.00,0.00,-47.00,-47.00,0.00,0.00,0.00,0.00,0.00,0.00,-47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-47.00,0.00,0.00,-47.00
1962:Q3,255.00,0.00,0.00,255.00,255.00,0.00,0.00,0.00,0.00,0.00,0.00,255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.00,0.00,0.00,255.00
1962:Q4,-332.00,0.00,0.00,-332.00,-332.00,0.00,0.00,0.00,0.00,0.00,0.00,-332.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-332.00,0.00,0.00,-332.00
1963:Q1,883.00,0.00,0.00,883.00,883.00,0.00,0.00,0.00,0.00,0.00,0.00,883.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,883.00,0.00,0.00,883.00
1963:Q2,485.00,0.00,0.00,485.00,485.00,0.00,0.00,0.00,0.00,0.00,0.00,485.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,485.00,0.00,0.00,485.00
1963:Q3,390.00,0.00,0.00,390.00,390.00,0.00,0.00,0.00,0.00,0.00,0.00,390.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,390.00,0.00,0.00,390.00
1963:Q4,-538.00,0.00,0.00,-538.00,-538.00,0.00,0.00,0.00,0.00,0.00,0.00,-538.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-538.00,0.00,0.00,-538.00
1964:Q1,437.00,0.00,0.00,437.00,437.00,0.00,0.00,0.00,0.00,0.00,0.00,437.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,437.00,0.00,0.00,437.00
1964:Q2,798.00,0.00,0.00,798.00,798.00,0.00,0.00,0.00,0.00,0.00,0.00,798.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,798.00,0.00,0.00,798.00
1964:Q3,-433.00,0.00,0.00,-433.00,-433.00,0.00,0.00,0.00,0.00,0.00,0.00,-433.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-433.00,0.00,0.00,-433.00
1964:Q4,150.00,0.00,0.00,150.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,0.00,0.00,150.00
1965:Q1,1163.00,0.00,0.00,1163.00,1163.00,0.00,0.00,0.00,0.00,0.00,0.00,1163.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1163.00,0.00,0.00,1163.00
1965:Q2,497.00,0.00,0.00,497.00,497.00,0.00,0.00,0.00,0.00,0.00,0.00,497.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,497.00,0.00,0.00,497.00
1965:Q3,-255.00,0.00,0.00,-255.00,-255.00,0.00,0.00,0.00,0.00,0.00,0.00,-255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-255.00,0.00,0.00,-255.00
1965:Q4,-319.00,0.00,0.00,-319.00,-319.00,0.00,0.00,0.00,0.00,0.00,0.00,-319.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-319.00,0.00,0.00,-319.00
1966:Q1,705.00,0.00,0.00,705.00,705.00,0.00,0.00,0.00,0.00,0.00,0.00,705.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,705.00,0.00,0.00,705.00
1966:Q2,66.00,0.00,0.00,66.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,0.00,0.00,66.00
