1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q3,29708172.00,10526216.00,19181956.00,3288847.00,1669417.00,237823.00,4451966.00,3324804.00,1127162.00,104237.00,513252.00,3779.00,23562.00,482332.00,9533903.00,4286445.00,25421726.00,14.99,23.21
1993:Q4,30241845.00,10651510.00,19590335.00,3286292.00,1737155.00,238383.00,4659785.00,3478889.00,1180896.00,113267.00,524866.00,4398.00,24596.00,513769.00,9668721.00,4384988.00,25856857.00,15.41,23.79
1994:Q1,30425028.00,10747237.00,19677791.00,3264727.00,1887155.00,240864.00,4497281.00,3316875.00,1180406.00,116403.00,515860.00,4792.00,24055.00,519296.00,9787764.00,4416722.00,26008306.00,14.78,22.85
1994:Q2,30689006.00,10874854.00,19814152.00,3213319.00,1995785.00,236972.00,4457781.00,3250488.00,1207293.00,122008.00,532243.00,5179.00,24289.00,523574.00,9910296.00,4500285.00,26188721.00,14.53,22.50
1994:Q3,31128086.00,10994724.00,20133362.00,3211765.00,2047081.00,235203.00,4611826.00,3310075.00,1301751.00,133492.00,567946.00,5832.00,25622.00,568859.00,10027486.00,4591663.00,26536423.00,14.82,22.91
1994:Q4,31502173.00,11089861.00,20412312.00,3245555.00,2236574.00,232997.00,4610739.00,3350509.00,1260230.00,135683.00,559852.00,6179.00,25405.00,533111.00,10086446.00,4712612.00,26789561.00,14.64,22.59
1995:Q1,32097820.00,11177547.00,20920273.00,3296976.00,2191485.00,236155.00,4964393.00,3601795.00,1362598.00,148553.00,606676.00,7171.00,27361.00,572837.00,10231263.00,4743331.00,27354489.00,15.47,23.73
1995:Q2,32743526.00,11275232.00,21468294.00,3360581.00,2142891.00,236336.00,5345372.00,3850083.00,1495289.00,169279.00,652046.00,8508.00,29822.00,635634.00,10383113.00,4837822.00,27905704.00,16.32,24.90
1995:Q3,33510551.00,11389826.00,22120725.00,3378795.00,2176439.00,236531.00,5796492.00,4148484.00,1648008.00,186479.00,719997.00,9946.00,32461.00,699125.00,10532468.00,4951058.00,28559493.00,17.30,26.20
1995:Q4,34264742.00,11497298.00,22767444.00,3426588.00,2165245.00,254742.00,6222275.00,4498259.00,1724016.00,193298.00,769984.00,11459.00,34288.00,714987.00,10698593.00,5046900.00,29217842.00,18.16,27.33
1996:Q1,34968787.00,11636795.00,23331992.00,3527960.00,2175448.00,263409.00,6548791.00,4680822.00,1867969.00,214731.00,811744.00,13121.00,35852.00,792521.00,10816385.00,5109221.00,29859566.00,18.73,28.07
1996:Q2,35493580.00,11739536.00,23754044.00,3508230.00,2259253.00,258588.00,6821076.00,4830299.00,1990777.00,234145.00,835993.00,14964.00,37046.00,868629.00,10906897.00,5211234.00,30282346.00,19.22,28.72
1996:Q3,35881823.00,11859069.00,24022754.00,3543625.00,2270930.00,255694.00,6934697.00,4847812.00,2086885.00,249978.00,872794.00,16362.00,37827.00,909924.00,11017808.00,5307513.00,30574309.00,19.33,28.87
1996:Q4,36323072.00,11985981.00,24337091.00,3564631.00,2282024.00,292317.00,6991023.00,4756067.00,2234956.00,274841.00,919105.00,18778.00,72014.00,950218.00,11207097.00,5409259.00,30913813.00,19.25,28.73
1997:Q1,36759443.00,12172829.00,24586614.00,3608276.00,2247446.00,281651.00,7021025.00,4755943.00,2265082.00,284099.00,916831.00,20177.00,76239.00,967736.00,11428216.00,5452467.00,31306975.00,19.10,28.56
1997:Q2,38305549.00,12311266.00,25994283.00,3614302.00,2198643.00,297645.00,8260611.00,5620269.00,2640342.00,340055.00,1062354.00,24842.00,86245.00,1126846.00,11623082.00,5552913.00,32752636.00,21.57,31.78
