1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q2,-651.00,-2183.00,1064.00,-511.00,846.00,-482.00,-11.00,-182.00,4.00,7.00,-5.00,-68.00,201.00,73.00,35.00,0.00,-300.00,-23.00,-45.00,-169.00,616.00
1968:Q3,-6456.00,-6942.00,3492.00,2022.00,-3810.00,-207.00,-11.00,697.00,-6.00,6.00,-9.00,-129.00,-184.00,-26.00,34.00,0.00,-340.00,-23.00,-49.00,-167.00,-1012.00
1968:Q4,11767.00,6912.00,3264.00,624.00,2334.00,-1046.00,199.00,-389.00,18.00,5.00,-1.00,-130.00,-123.00,19.00,-25.00,0.00,-354.00,-22.00,-66.00,-176.00,-320.00
1969:Q1,-9627.00,-9593.00,-1057.00,87.00,1467.00,1237.00,-250.00,1794.00,25.00,-22.00,-6.00,279.00,-80.00,34.00,-6.00,0.00,-259.00,-28.00,-57.00,-187.00,-1769.00
1969:Q2,1944.00,-1061.00,2917.00,-1366.00,1652.00,801.00,-20.00,312.00,56.00,-32.00,-3.00,244.00,682.00,23.00,60.00,0.00,-258.00,-10.00,-57.00,-196.00,-999.00
1969:Q3,-3795.00,-5191.00,2305.00,1041.00,-1852.00,2173.00,-9.00,2408.00,-17.00,5.00,-6.00,154.00,59.00,18.00,128.00,0.00,-286.00,-15.00,-62.00,-204.00,-2271.00
1969:Q4,4504.00,-345.00,4949.00,1056.00,2664.00,316.00,249.00,490.00,20.00,5.00,4.00,106.00,71.00,25.00,-89.00,0.00,-289.00,-13.00,-60.00,-204.00,-4137.00
1970:Q1,-7364.00,-11525.00,2830.00,-263.00,1006.00,680.00,-304.00,2445.00,63.00,17.00,8.00,-347.00,-408.00,19.00,-215.00,0.00,-275.00,2.00,-102.00,-223.00,-93.00
1970:Q2,2909.00,-2117.00,5137.00,-1528.00,2944.00,24.00,-17.00,520.00,101.00,25.00,12.00,-324.00,277.00,-32.00,53.00,0.00,-266.00,0.00,-101.00,-223.00,-1552.00
1970:Q3,-16737.00,-14894.00,327.00,185.00,-3285.00,2213.00,-10.00,2863.00,-79.00,25.00,7.00,-45.00,73.00,-32.00,18.00,0.00,-273.00,-9.00,-104.00,-219.00,-1283.00
1970:Q4,8378.00,1216.00,3209.00,-531.00,4442.00,1105.00,278.00,1204.00,-23.00,19.00,16.00,-388.00,568.00,-32.00,15.00,0.00,-250.00,0.00,-99.00,-203.00,-1063.00
1971:Q1,-13730.00,-14446.00,17.00,-796.00,1578.00,560.00,-320.00,1682.00,55.00,11.00,-4.00,68.00,-350.00,-21.00,-8.00,0.00,-139.00,-2.00,-134.00,-279.00,-641.00
1971:Q2,-4164.00,-5907.00,3789.00,-1174.00,1611.00,504.00,-19.00,428.00,202.00,26.00,-7.00,-397.00,787.00,0.00,12.00,0.00,-106.00,1.00,-139.00,-284.00,-2988.00
1971:Q3,-12691.00,-7180.00,2094.00,1248.00,-2374.00,1313.00,-63.00,2237.00,-152.00,53.00,-15.00,-394.00,213.00,-28.00,-14.00,0.00,-100.00,-2.00,-137.00,-285.00,-7792.00
1971:Q4,7438.00,3952.00,3688.00,241.00,3777.00,-1280.00,241.00,-709.00,-170.00,-5.00,-7.00,-440.00,254.00,5.00,47.00,0.00,-69.00,11.00,-145.00,-293.00,-2942.00
1972:Q1,-14029.00,-16938.00,-116.00,-444.00,1212.00,1067.00,-270.00,1539.00,316.00,40.00,-4.00,-125.00,113.00,1.00,-15.00,0.00,-57.00,-9.00,-130.00,-335.00,1191.00
1972:Q2,110.00,-6173.00,3895.00,-1848.00,2519.00,1847.00,26.00,1645.00,213.00,54.00,-5.00,-275.00,693.00,25.00,29.00,0.00,-61.00,-22.00,-135.00,-340.00,-130.00
1972:Q3,-14827.00,-13398.00,5042.00,43.00,-4195.00,777.00,88.00,1904.00,-106.00,47.00,-15.00,-267.00,-348.00,4.00,-9.00,0.00,-75.00,-10.00,-95.00,-342.00,-3095.00
