1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q4,12524.00,520.00,12344.00,-3512.00,1032.00,1452.00,0.00,688.00,14937.00,0.00,15553.00,-2228.00,104.00,1248.00,188.00,0.00,72.00,-2413.00
1966:Q1,12532.00,440.00,9628.00,644.00,-52.00,1480.00,40.00,352.00,14721.00,0.00,10649.00,2788.00,832.00,52.00,220.00,0.00,180.00,-2189.00
1966:Q2,9332.00,360.00,9516.00,-2672.00,380.00,1512.00,40.00,196.00,18861.00,0.00,18529.00,-1468.00,652.00,536.00,248.00,0.00,364.00,-9529.00
1966:Q3,14256.00,280.00,10428.00,552.00,1084.00,1540.00,40.00,332.00,19841.00,0.00,13209.00,2620.00,1884.00,900.00,264.00,0.00,964.00,-5585.00
1966:Q4,7848.00,320.00,7008.00,-3336.00,1720.00,1608.00,40.00,488.00,9293.00,0.00,7117.00,-1696.00,1628.00,1076.00,264.00,0.00,904.00,-1445.00
1967:Q1,1312.00,400.00,-1068.00,-220.00,-432.00,1668.00,40.00,924.00,5241.00,0.00,-347.00,2636.00,1988.00,-528.00,264.00,0.00,1228.00,-3929.00
1967:Q2,9568.00,680.00,5032.00,-76.00,1672.00,1676.00,40.00,544.00,11693.00,0.00,8009.00,-672.00,2268.00,576.00,268.00,0.00,1244.00,-2125.00
1967:Q3,12052.00,720.00,7784.00,1584.00,44.00,1676.00,40.00,204.00,13901.00,0.00,9273.00,1760.00,1244.00,812.00,276.00,0.00,536.00,-1849.00
1967:Q4,15176.00,720.00,11948.00,-1652.00,1324.00,1728.00,40.00,1068.00,17105.00,0.00,16385.00,-1600.00,372.00,1452.00,304.00,0.00,192.00,-1929.00
1968:Q1,4156.00,560.00,12144.00,-9080.00,-1132.00,1788.00,40.00,-164.00,5852.00,0.00,8596.00,-4516.00,908.00,-320.00,284.00,0.00,900.00,-1696.00
1968:Q2,21396.00,240.00,18188.00,644.00,-616.00,1860.00,80.00,1000.00,25096.00,0.00,21516.00,-628.00,728.00,1132.00,280.00,0.00,2068.00,-3700.00
1968:Q3,25812.00,760.00,20272.00,2368.00,196.00,1896.00,80.00,240.00,24784.00,0.00,19728.00,2108.00,244.00,1452.00,296.00,0.00,956.00,1028.00
1968:Q4,18300.00,640.00,15184.00,-2352.00,1488.00,1940.00,40.00,1360.00,27316.00,0.00,24260.00,-2432.00,420.00,1524.00,340.00,0.00,3204.00,-9016.00
1969:Q1,18148.00,560.00,16096.00,900.00,-1372.00,1984.00,40.00,-60.00,20788.00,0.00,16276.00,2408.00,1744.00,292.00,384.00,0.00,-316.00,-2640.00
1969:Q2,24624.00,680.00,19700.00,1712.00,-136.00,2032.00,80.00,556.00,29980.00,0.00,25672.00,352.00,1412.00,1324.00,432.00,0.00,788.00,-5356.00
1969:Q3,25580.00,640.00,21536.00,2104.00,-644.00,2044.00,80.00,-180.00,31168.00,0.00,26348.00,1440.00,1052.00,1480.00,448.00,0.00,400.00,-5588.00
1969:Q4,25340.00,800.00,20684.00,-2148.00,1840.00,2036.00,80.00,2048.00,24852.00,0.00,22996.00,-2380.00,-532.00,1860.00,424.00,0.00,2484.00,488.00
1970:Q1,15896.00,640.00,12092.00,84.00,-660.00,2088.00,40.00,1612.00,10825.00,0.00,9897.00,884.00,-672.00,-68.00,452.00,0.00,332.00,5071.00
1970:Q2,13888.00,480.00,12008.00,780.00,-2128.00,2124.00,40.00,584.00,8893.00,0.00,9509.00,-1884.00,-776.00,772.00,464.00,0.00,808.00,4995.00
1970:Q3,8712.00,800.00,5780.00,-160.00,-480.00,2244.00,0.00,528.00,5393.00,0.00,5069.00,-1768.00,-648.00,668.00,476.00,0.00,1596.00,3319.00
1970:Q4,1388.00,640.00,1584.00,-3416.00,-884.00,2292.00,40.00,1132.00,9873.00,0.00,9297.00,-3180.00,-1012.00,1116.00,496.00,0.00,3156.00,-8485.00
1971:Q1,24768.00,760.00,14484.00,6608.00,-8.00,2328.00,40.00,556.00,4539.00,0.00,-1041.00,6840.00,-1744.00,284.00,292.00,0.00,-92.00,20229.00
1971:Q2,7460.00,600.00,7416.00,-2044.00,-1572.00,2384.00,40.00,636.00,8259.00,0.00,12631.00,-724.00,-3440.00,552.00,112.00,0.00,-872.00,-799.00
1971:Q3,13600.00,1280.00,10400.00,-660.00,-316.00,2396.00,80.00,420.00,15363.00,0.00,14999.00,1512.00,-944.00,892.00,200.00,0.00,-1296.00,-1763.00
1971:Q4,20728.00,880.00,22356.00,-3092.00,-2596.00,2468.00,80.00,632.00,24827.00,0.00,23059.00,-1628.00,-688.00,1988.00,560.00,0.00,1536.00,-4099.00
1972:Q1,31724.00,640.00,28644.00,900.00,-1132.00,2504.00,80.00,88.00,24870.00,0.00,22206.00,2052.00,16.00,92.00,936.00,0.00,-432.00,6854.00
1972:Q2,11464.00,680.00,7892.00,2136.00,-1732.00,2484.00,80.00,-76.00,13286.00,0.00,9274.00,752.00,40.00,812.00,1336.00,0.00,1072.00,-1822.00
1972:Q3,30900.00,720.00,23724.00,2808.00,968.00,2528.00,80.00,72.00,24534.00,0.00,18838.00,2248.00,-692.00,2024.00,1380.00,0.00,736.00,6366.00
1972:Q4,40048.00,1320.00,32440.00,-1264.00,2700.00,2624.00,80.00,2148.00,56994.00,0.00,55306.00,-2464.00,-2640.00,2888.00,1072.00,0.00,2832.00,-16946.00
1973:Q1,42984.00,160.00,38804.00,1832.00,-984.00,2680.00,40.00,452.00,46714.00,0.00,41002.00,1880.00,440.00,1136.00,832.00,0.00,1424.00,-3730.00
1973:Q2,49500.00,1200.00,41432.00,3592.00,268.00,2712.00,40.00,256.00,41998.00,0.00,33106.00,2052.00,1332.00,3044.00,672.00,0.00,1792.00,7502.00
1973:Q3,33616.00,720.00,23160.00,3744.00,964.00,2784.00,40.00,2204.00,47906.00,0.00,40326.00,2492.00,-392.00,2672.00,564.00,0.00,2244.00,-14290.00
1973:Q4,63896.00,840.00,49032.00,4264.00,2912.00,2908.00,40.00,3900.00,58874.00,0.00,49062.00,2840.00,-284.00,4456.00,504.00,0.00,2296.00,5022.00
1974:Q1,49608.00,1040.00,31160.00,9056.00,-1204.00,3084.00,80.00,6392.00,49136.00,0.00,39108.00,5816.00,836.00,1104.00,616.00,0.00,1656.00,472.00
1974:Q2,54020.00,1720.00,39484.00,6552.00,484.00,3296.00,80.00,2404.00,63252.00,0.00,53336.00,4368.00,896.00,2920.00,500.00,0.00,1232.00,-9232.00
