1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,96902.00,8708.00,88195.00,77055.00,11140.00,-74.00,-808.00,557.00,10753.00,421.00,22762.00,23029.00,15417.00,9443.00,5154.00,820.00,0.00,7612.00,13402.00,0.00,907.00,3558.00,0.00,1014.00,-7.00,35.00,822.00,164.00,759.00,40.00,719.00,0.00,-866.00,277.00,0.00,783.00,5653.00,1239.00,78.00,5790.00,0.00,5712.00,3142.00,1550.00,767.00,311.00,-58.00,40.00,38.00,-267.00
1959:Q1,98598.00,10330.00,88268.00,78948.00,9320.00,-35.00,364.00,1646.00,10403.00,423.00,20547.00,25407.00,16782.00,10155.00,5801.00,827.00,0.00,8625.00,11150.00,0.00,-307.00,2175.00,0.00,2673.00,1401.00,84.00,845.00,343.00,603.00,116.00,487.00,0.00,-389.00,428.00,0.00,796.00,5817.00,-783.00,137.00,2525.00,0.00,2226.00,2788.00,-499.00,-458.00,151.00,244.00,251.00,48.00,-4861.00
1959:Q2,100673.00,11807.00,88866.00,80501.00,8366.00,45.00,832.00,1871.00,10627.00,433.00,19643.00,18998.00,17446.00,10577.00,6012.00,857.00,0.00,1553.00,8616.00,0.00,-687.00,3759.00,0.00,587.00,-519.00,606.00,608.00,-108.00,495.00,-154.00,649.00,0.00,-613.00,301.00,0.00,802.00,6197.00,-2359.00,134.00,7063.00,0.00,6966.00,3439.00,2887.00,235.00,243.00,162.00,40.00,57.00,645.00
1959:Q3,101258.00,10383.00,90875.00,81862.00,9012.00,187.00,-262.00,1980.00,10747.00,471.00,21717.00,25022.00,17576.00,10780.00,5911.00,886.00,0.00,7446.00,13716.00,0.00,3859.00,2003.00,0.00,2499.00,986.00,488.00,990.00,35.00,384.00,-87.00,471.00,0.00,-1118.00,355.00,0.00,861.00,6344.00,-1619.00,148.00,6270.00,0.00,6161.00,3716.00,2040.00,304.00,-1.00,102.00,50.00,59.00,-3305.00
1959:Q4,102667.00,9769.00,92898.00,82447.00,10450.00,-133.00,-894.00,1395.00,10837.00,479.00,22965.00,20961.00,16894.00,10260.00,5751.00,883.00,0.00,4067.00,10875.00,0.00,-454.00,2591.00,0.00,2768.00,1140.00,256.00,1304.00,68.00,-902.00,-1389.00,487.00,0.00,-1101.00,335.00,0.00,962.00,6293.00,243.00,140.00,6808.00,0.00,6704.00,3092.00,3295.00,104.00,222.00,-9.00,50.00,54.00,2004.00
1960:Q1,104275.00,11266.00,93010.00,83370.00,9640.00,-75.00,579.00,1399.00,11204.00,503.00,21086.00,28605.00,17355.00,10606.00,5980.00,928.00,-160.00,11250.00,12174.00,0.00,-1788.00,1997.00,0.00,5177.00,3882.00,-637.00,610.00,1322.00,178.00,-363.00,541.00,0.00,-675.00,311.00,0.00,939.00,6031.00,-122.00,126.00,924.00,0.00,833.00,2481.00,-1456.00,-516.00,-116.00,440.00,40.00,51.00,-7519.00
1960:Q2,105531.00,13504.00,92028.00,84895.00,7133.00,366.00,1061.00,1543.00,11310.00,562.00,18730.00,18656.00,17104.00,10834.00,5484.00,949.00,-163.00,1552.00,8411.00,0.00,-1713.00,3634.00,0.00,567.00,-1283.00,279.00,1100.00,471.00,592.00,-176.00,768.00,0.00,-990.00,333.00,0.00,877.00,5873.00,-884.00,122.00,6859.00,0.00,6759.00,2786.00,2865.00,664.00,311.00,133.00,50.00,50.00,73.00
1960:Q3,106185.00,11166.00,95019.00,84928.00,10092.00,-84.00,-356.00,1332.00,11425.00,536.00,22584.00,25240.00,16764.00,10716.00,5273.00,944.00,-168.00,8476.00,13058.00,0.00,3636.00,3125.00,0.00,-688.00,-581.00,-615.00,431.00,77.00,1067.00,357.00,710.00,0.00,-975.00,268.00,0.00,767.00,5836.00,-112.00,134.00,4582.00,0.00,4554.00,3216.00,968.00,-46.00,278.00,138.00,-20.00,48.00,-2657.00
1960:Q4,106542.00,10133.00,96409.00,85448.00,10961.00,-153.00,-1250.00,978.00,11510.00,642.00,23905.00,22642.00,16426.00,10427.00,5216.00,957.00,-174.00,6216.00,11699.00,0.00,1863.00,3180.00,0.00,-640.00,-1408.00,-261.00,504.00,525.00,1343.00,588.00,755.00,0.00,-1133.00,137.00,0.00,645.00,5925.00,230.00,149.00,5483.00,0.00,5400.00,2796.00,1658.00,596.00,222.00,128.00,40.00,43.00,1262.00
1961:Q1,107663.00,10762.00,96900.00,85599.00,11301.00,-127.00,779.00,364.00,11555.00,638.00,21676.00,22740.00,15763.00,9839.00,5140.00,966.00,-183.00,6977.00,7738.00,0.00,-2069.00,5240.00,0.00,-984.00,-99.00,-674.00,-238.00,27.00,195.00,-655.00,850.00,0.00,-368.00,418.00,0.00,688.00,5849.00,-1380.00,149.00,761.00,0.00,723.00,2267.00,-1909.00,-327.00,571.00,121.00,0.00,38.00,-1064.00
