1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q1,35838.00,172.00,17171.00,781.00,7978.00,2637.00,-754.00,5130.00,1319.00,3.00,-15.00,1386.00,524.00,698.00,1550.00,148.00,-536.00,968.00,-3945.00,623.00,739.00,871.00,-15642.00,210.00,-15.00,123.00,-66.00,1380.00,126.00,166.00,-37.00,0.00,392.00,-243.00,8355.00,2637.00,-56.00,0.00,0.00,-71.00,0.00,-625.00,797.00,411.00,2025.00,0.00,35099.00
1975:Q2,15250.00,173.00,8941.00,1.00,3110.00,2490.00,178.00,1829.00,162.00,1.00,-24.00,1382.00,904.00,749.00,-3406.00,-543.00,-501.00,3785.00,-4107.00,126.00,-5284.00,872.00,-12500.00,111.00,-15.00,126.00,-149.00,-1909.00,542.00,181.00,-37.00,0.00,445.00,691.00,2967.00,2490.00,17.00,0.00,0.00,424.00,0.00,-2896.00,-565.00,228.00,3693.00,0.00,20534.00
1975:Q3,37501.00,165.00,8707.00,395.00,8907.00,3160.00,-120.00,12074.00,367.00,65.00,-26.00,1550.00,703.00,-650.00,4672.00,-976.00,-389.00,3533.00,-4791.00,155.00,22723.00,1008.00,-3917.00,185.00,-2.00,155.00,-239.00,8034.00,-468.00,114.00,-15.00,0.00,424.00,918.00,9272.00,3160.00,6.00,0.00,0.00,905.00,0.00,-159.00,-325.00,-266.00,3932.00,0.00,14778.00
1975:Q4,-523.00,148.00,-12336.00,1853.00,8035.00,2177.00,446.00,-1483.00,-145.00,66.00,-23.00,1891.00,1007.00,917.00,-306.00,-368.00,-399.00,142.00,-1904.00,-241.00,22774.00,1253.00,3281.00,557.00,-40.00,259.00,382.00,2402.00,69.00,122.00,-26.00,0.00,331.00,1255.00,8145.00,2177.00,47.00,0.00,0.00,-295.00,0.00,-479.00,-51.00,96.00,3289.00,0.00,-23297.00
1976:Q1,50998.00,158.00,21486.00,-291.00,9386.00,2455.00,-221.00,6608.00,177.00,38.00,-11.00,2242.00,719.00,534.00,1403.00,341.00,3153.00,2027.00,587.00,207.00,9739.00,1341.00,-10841.00,853.00,-41.00,207.00,163.00,2402.00,-175.00,-145.00,-40.00,0.00,359.00,777.00,8955.00,2455.00,-8.00,0.00,0.00,-209.00,0.00,8.00,-41.00,3556.00,163.00,0.00,41260.00
1976:Q2,16030.00,143.00,2534.00,124.00,2419.00,526.00,-176.00,3113.00,-657.00,41.00,-4.00,2603.00,1243.00,-498.00,1501.00,-183.00,273.00,2219.00,495.00,314.00,16815.00,1494.00,10606.00,1170.00,103.00,214.00,125.00,-1647.00,-313.00,-122.00,-37.00,0.00,327.00,921.00,1930.00,526.00,19.00,0.00,0.00,-403.00,0.00,-133.00,-20.00,50.00,2005.00,0.00,-785.00
1976:Q3,36395.00,151.00,12414.00,458.00,9288.00,2254.00,418.00,7299.00,25.00,-62.00,4.00,2753.00,886.00,685.00,1228.00,-240.00,-262.00,1314.00,-2446.00,228.00,25765.00,1555.00,4095.00,1288.00,51.00,328.00,-324.00,-1232.00,196.00,111.00,-18.00,0.00,328.00,5800.00,9830.00,2254.00,39.00,0.00,0.00,200.00,0.00,-498.00,-40.00,-98.00,1901.00,0.00,10629.00
1976:Q4,-7709.00,179.00,-16273.00,955.00,8781.00,3271.00,36.00,-9954.00,-51.00,-55.00,8.00,2692.00,818.00,1249.00,-253.00,155.00,-602.00,2454.00,-1439.00,320.00,21844.00,1522.00,339.00,1346.00,-24.00,220.00,-226.00,-886.00,-176.00,61.00,-33.00,0.00,357.00,5807.00,8220.00,3271.00,-30.00,0.00,0.00,-61.00,0.00,-100.00,-30.00,-292.00,2559.00,0.00,-29553.00
1977:Q1,53361.00,207.00,17050.00,289.00,9193.00,3314.00,-587.00,6671.00,371.00,178.00,134.00,2945.00,1027.00,305.00,1951.00,171.00,491.00,2075.00,7459.00,117.00,36312.00,1744.00,7859.00,1404.00,4.00,117.00,-199.00,3229.00,-233.00,32.00,-49.00,0.00,561.00,5730.00,9718.00,3314.00,35.00,0.00,0.00,-67.00,0.00,-333.00,2.00,984.00,2459.00,0.00,17049.00
1977:Q2,27686.00,236.00,1816.00,-959.00,7597.00,1333.00,254.00,7676.00,-678.00,211.00,137.00,3115.00,1102.00,577.00,-682.00,-229.00,586.00,1035.00,4234.00,325.00,19010.00,1900.00,306.00,1506.00,-69.00,325.00,16.00,3866.00,-50.00,-29.00,-44.00,0.00,573.00,62.00,7384.00,1333.00,-77.00,0.00,0.00,388.00,0.00,95.00,-2.00,-142.00,1670.00,0.00,8677.00
1977:Q3,35271.00,242.00,15987.00,207.00,2385.00,1867.00,334.00,5861.00,426.00,29.00,141.00,3233.00,1146.00,-385.00,2418.00,-76.00,-433.00,1315.00,373.00,200.00,30144.00,1932.00,15037.00,1526.00,-70.00,200.00,-60.00,-774.00,-82.00,5.00,-32.00,0.00,568.00,4604.00,3099.00,1867.00,-2.00,0.00,0.00,26.00,0.00,849.00,0.00,-257.00,1708.00,0.00,5127.00
