1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,24289.00,4396.00,3672.00,13492.00,10404.00,368.00,2416.00,304.00,2729.00,24289.00,20757.00,13717.00,5461.00,1483.00,0.00,96.00,2376.00,344.00,0.00,0.00,0.00,1052.00,48.00,0.00,932.00,0.00,0.00,1156.00,24289.00,3853.00,1544.00,-711.00,1156.00,1740.00,124.00,20436.00,100.00,13704.00,-336.00,20.00,436.00,0.00,3784.00,136.00,96.00,0.00,2040.00,24.00,0.00,252.00,0.00,180.00,0.00,0.00,0.00
1957:Q1,18335.00,2020.00,232.00,12888.00,9940.00,84.00,2072.00,792.00,3195.00,18335.00,23055.00,16227.00,5431.00,1169.00,0.00,228.00,-5192.00,-1068.00,0.00,0.00,0.00,-600.00,-844.00,0.00,-2680.00,0.00,0.00,472.00,18335.00,4155.00,2864.00,2275.00,-1252.00,104.00,164.00,14180.00,0.00,8336.00,144.00,20.00,432.00,0.00,3064.00,132.00,120.00,0.00,716.00,32.00,0.00,1692.00,0.00,-508.00,0.00,0.00,0.00
1957:Q2,23667.00,8356.00,1032.00,11252.00,8180.00,388.00,1892.00,792.00,3027.00,23667.00,22847.00,13823.00,6221.00,2795.00,0.00,8.00,520.00,472.00,0.00,0.00,0.00,-832.00,-352.00,0.00,1232.00,0.00,0.00,300.00,23667.00,307.00,1548.00,-1129.00,484.00,-804.00,208.00,23360.00,-100.00,16928.00,152.00,20.00,476.00,0.00,2340.00,128.00,140.00,0.00,1576.00,36.00,0.00,884.00,0.00,780.00,0.00,0.00,0.00
1957:Q3,18427.00,-112.00,3236.00,12332.00,8340.00,788.00,2736.00,468.00,2971.00,18427.00,17231.00,11747.00,1851.00,3177.00,192.00,264.00,916.00,160.00,0.00,0.00,0.00,460.00,8.00,0.00,288.00,0.00,0.00,280.00,18427.00,2931.00,1368.00,519.00,-104.00,920.00,228.00,15496.00,24.00,8640.00,432.00,20.00,508.00,0.00,2408.00,132.00,156.00,0.00,1328.00,16.00,0.00,2248.00,0.00,-416.00,0.00,0.00,0.00
1957:Q4,15123.00,-1572.00,3036.00,12304.00,8056.00,928.00,3124.00,196.00,1355.00,15123.00,10727.00,6899.00,865.00,2667.00,192.00,104.00,2000.00,584.00,0.00,0.00,0.00,-148.00,-112.00,0.00,1676.00,0.00,0.00,2396.00,15123.00,4083.00,2092.00,-1501.00,1036.00,2248.00,208.00,11040.00,-8.00,7144.00,-532.00,20.00,384.00,0.00,2576.00,144.00,164.00,0.00,1908.00,12.00,0.00,432.00,0.00,-1204.00,0.00,0.00,0.00
1958:Q1,8961.00,-3540.00,1288.00,12476.00,8100.00,1656.00,2212.00,508.00,-1263.00,8961.00,10677.00,8861.00,-575.00,1683.00,504.00,204.00,-2268.00,-2276.00,0.00,0.00,0.00,-296.00,456.00,0.00,-152.00,0.00,0.00,552.00,8961.00,4381.00,3184.00,1425.00,-1600.00,1164.00,208.00,4580.00,-20.00,1776.00,572.00,40.00,164.00,0.00,2232.00,144.00,176.00,0.00,-1740.00,8.00,0.00,232.00,0.00,996.00,0.00,0.00,0.00
1958:Q2,19177.00,4272.00,2448.00,13564.00,7940.00,1968.00,2736.00,920.00,-1107.00,19177.00,11717.00,7537.00,-403.00,3935.00,500.00,148.00,6496.00,932.00,0.00,0.00,0.00,-28.00,456.00,0.00,5136.00,0.00,0.00,964.00,19177.00,3085.00,3116.00,-1215.00,288.00,692.00,204.00,16092.00,0.00,13772.00,124.00,52.00,256.00,0.00,1696.00,144.00,188.00,0.00,-76.00,8.00,0.00,-1800.00,0.00,1728.00,0.00,0.00,0.00
1958:Q3,14309.00,-4924.00,2396.00,16056.00,10400.00,2012.00,2832.00,812.00,781.00,14309.00,19341.00,13301.00,843.00,4593.00,368.00,236.00,-6508.00,324.00,0.00,0.00,0.00,76.00,-1144.00,0.00,-5764.00,0.00,0.00,1476.00,14309.00,5061.00,1980.00,1045.00,136.00,1688.00,212.00,9248.00,4.00,6452.00,388.00,52.00,264.00,0.00,1904.00,160.00,200.00,0.00,672.00,24.00,0.00,-1144.00,0.00,272.00,0.00,0.00,0.00
1958:Q4,36733.00,9004.00,5416.00,19632.00,12772.00,2180.00,4072.00,608.00,2681.00,36733.00,28937.00,17485.00,5961.00,4987.00,372.00,132.00,6400.00,1152.00,0.00,0.00,0.00,164.00,2060.00,0.00,3024.00,0.00,0.00,1396.00,36733.00,6457.00,3184.00,-595.00,1180.00,2464.00,224.00,30276.00,68.00,22956.00,-784.00,28.00,384.00,-4.00,2748.00,188.00,220.00,0.00,2056.00,28.00,0.00,1524.00,0.00,864.00,0.00,0.00,0.00
1959:Q1,29307.00,1760.00,2536.00,18452.00,12980.00,2268.00,2212.00,992.00,6559.00,29307.00,31035.00,22375.00,2710.00,5654.00,196.00,100.00,-1324.00,-844.00,0.00,0.00,0.00,100.00,2056.00,0.00,-2636.00,0.00,0.00,-404.00,29307.00,8375.00,3568.00,2963.00,-1068.00,2668.00,244.00,20932.00,0.00,13948.00,396.00,8.00,536.00,0.00,1936.00,216.00,224.00,0.00,228.00,20.00,0.00,3284.00,0.00,136.00,0.00,0.00,0.00
1959:Q2,43803.00,12072.00,5120.00,19832.00,12880.00,2188.00,3216.00,1548.00,6779.00,43803.00,38835.00,20887.00,9680.00,7812.00,204.00,252.00,3992.00,1800.00,0.00,0.00,0.00,-172.00,2172.00,0.00,192.00,0.00,0.00,976.00,43803.00,4643.00,1492.00,-481.00,532.00,2832.00,268.00,39160.00,-4.00,29440.00,-20.00,-8.00,624.00,-8.00,1928.00,240.00,220.00,0.00,2988.00,24.00,0.00,3348.00,0.00,388.00,0.00,0.00,0.00
1959:Q3,39591.00,9696.00,2032.00,19724.00,13692.00,2132.00,3084.00,816.00,8139.00,39591.00,35863.00,24175.00,4379.00,6709.00,428.00,172.00,3408.00,1032.00,0.00,0.00,0.00,-28.00,2024.00,0.00,380.00,0.00,0.00,320.00,39591.00,2583.00,728.00,199.00,-100.00,1492.00,264.00,37008.00,-64.00,26720.00,464.00,-12.00,824.00,-12.00,2684.00,260.00,256.00,0.00,2408.00,4.00,0.00,4092.00,0.00,-616.00,0.00,0.00,0.00
1959:Q4,37015.00,10380.00,-1712.00,18932.00,12588.00,1952.00,3780.00,612.00,9415.00,37015.00,32151.00,20791.00,6614.00,4098.00,432.00,216.00,5128.00,1356.00,0.00,0.00,0.00,416.00,1136.00,0.00,2220.00,0.00,0.00,-264.00,37015.00,1091.00,-3468.00,2247.00,1924.00,144.00,244.00,35924.00,16.00,25412.00,-452.00,-12.00,672.00,-36.00,3712.00,272.00,324.00,0.00,2832.00,4.00,0.00,3076.00,0.00,104.00,0.00,0.00,0.00
1960:Q1,25192.00,3640.00,888.00,17236.00,11876.00,1996.00,2684.00,680.00,3428.00,25192.00,32064.00,18460.00,8639.00,4413.00,400.00,152.00,-7168.00,-2456.00,0.00,0.00,0.00,372.00,-268.00,0.00,-4816.00,0.00,0.00,296.00,25192.00,-16.00,1944.00,-732.00,-2244.00,808.00,208.00,25208.00,60.00,15804.00,520.00,4.00,808.00,-4.00,3504.00,296.00,396.00,0.00,-780.00,4.00,0.00,5848.00,0.00,-1252.00,0.00,0.00,0.00
1960:Q2,33984.00,6648.00,4888.00,16332.00,10092.00,2012.00,3076.00,1152.00,6116.00,33984.00,31164.00,18780.00,6221.00,5363.00,408.00,392.00,1644.00,1000.00,0.00,0.00,0.00,-928.00,232.00,0.00,1340.00,0.00,0.00,1176.00,33984.00,3772.00,1764.00,28.00,644.00,1164.00,172.00,30212.00,-80.00,19136.00,160.00,8.00,764.00,0.00,3172.00,328.00,472.00,0.00,2132.00,8.00,0.00,3924.00,0.00,188.00,0.00,0.00,0.00
1960:Q3,26976.00,328.00,4648.00,18068.00,11700.00,2364.00,3452.00,552.00,3932.00,26976.00,25176.00,17972.00,1393.00,5091.00,404.00,316.00,656.00,-136.00,0.00,0.00,0.00,224.00,-2320.00,0.00,2888.00,0.00,0.00,1144.00,26976.00,3656.00,3488.00,-560.00,-392.00,944.00,176.00,23320.00,76.00,13956.00,820.00,12.00,640.00,8.00,2816.00,328.00,496.00,0.00,1080.00,-8.00,0.00,2784.00,0.00,312.00,0.00,0.00,0.00
