1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q2,58156.00,56284.00,360.00,144.00,1368.00,58156.00,38712.00,5452.00,3852.00,1600.00,88.00,12264.00,1216.00,880.00,284.00,0.00,0.00,52.00,0.00,424.00
1970:Q3,81820.00,79500.00,276.00,120.00,1924.00,81820.00,69264.00,1656.00,56.00,1600.00,632.00,13760.00,828.00,932.00,-168.00,0.00,0.00,64.00,0.00,-4320.00
1970:Q4,63860.00,60868.00,172.00,120.00,2700.00,63860.00,55876.00,1688.00,88.00,1600.00,412.00,8392.00,1124.00,864.00,184.00,0.00,0.00,76.00,0.00,-3632.00
1971:Q1,119016.00,116320.00,224.00,-52.00,2524.00,119016.00,96960.00,10388.00,8788.00,1600.00,68.00,10176.00,1164.00,1008.00,80.00,0.00,0.00,76.00,0.00,260.00
1971:Q2,80036.00,77224.00,152.00,-44.00,2704.00,80036.00,68336.00,6720.00,5120.00,1600.00,148.00,3904.00,652.00,792.00,-212.00,0.00,0.00,72.00,0.00,276.00
1971:Q3,61304.00,57508.00,456.00,444.00,2896.00,61304.00,50864.00,3364.00,1764.00,1600.00,52.00,5504.00,1116.00,1072.00,-24.00,0.00,0.00,68.00,0.00,404.00
1971:Q4,67016.00,63212.00,208.00,260.00,3336.00,67016.00,53880.00,2576.00,976.00,1600.00,-40.00,9312.00,912.00,948.00,-104.00,0.00,0.00,68.00,0.00,376.00
1972:Q1,89984.00,87256.00,388.00,-132.00,2472.00,89984.00,72532.00,10524.00,8924.00,1600.00,-80.00,4424.00,600.00,972.00,-436.00,0.00,0.00,64.00,0.00,1984.00
1972:Q2,84096.00,81808.00,304.00,-128.00,2112.00,84096.00,70772.00,3936.00,2336.00,1600.00,-32.00,6952.00,1276.00,1232.00,-24.00,0.00,0.00,68.00,0.00,1192.00
1972:Q3,89288.00,85636.00,-1096.00,408.00,4340.00,89288.00,81952.00,-3932.00,-5532.00,1600.00,472.00,4612.00,1528.00,1336.00,128.00,0.00,0.00,64.00,0.00,4656.00
1972:Q4,90196.00,86748.00,-1084.00,412.00,4120.00,90196.00,68092.00,5396.00,3796.00,1600.00,-16.00,10948.00,1992.00,1424.00,504.00,0.00,0.00,64.00,0.00,3784.00
1973:Q1,118192.00,113520.00,1548.00,52.00,3072.00,118192.00,85968.00,16396.00,14772.00,1624.00,656.00,9304.00,2036.00,1520.00,452.00,0.00,0.00,64.00,0.00,3832.00
1973:Q2,80176.00,76816.00,180.00,-152.00,3332.00,80176.00,59392.00,10804.00,9184.00,1620.00,-160.00,4280.00,1924.00,1364.00,500.00,0.00,0.00,60.00,0.00,3936.00
1973:Q3,65500.00,61116.00,1424.00,372.00,2588.00,65500.00,53188.00,-824.00,-2432.00,1608.00,-560.00,10444.00,2780.00,1792.00,924.00,0.00,0.00,64.00,0.00,472.00
1973:Q4,49796.00,46284.00,692.00,296.00,2524.00,49796.00,43944.00,-992.00,-2592.00,1600.00,-604.00,2432.00,2008.00,1388.00,560.00,0.00,0.00,60.00,0.00,3008.00
1974:Q1,94684.00,91776.00,328.00,-48.00,2628.00,94684.00,79744.00,10760.00,8672.00,2088.00,604.00,3084.00,2340.00,1668.00,348.00,268.00,0.00,56.00,0.00,-1848.00
1974:Q2,91392.00,87744.00,756.00,-56.00,2948.00,91392.00,67096.00,3432.00,1552.00,1880.00,-576.00,9604.00,3532.00,1716.00,1184.00,572.00,0.00,60.00,0.00,8304.00
1974:Q3,50848.00,46072.00,2116.00,100.00,2560.00,50848.00,28532.00,828.00,-536.00,1364.00,176.00,836.00,4952.00,1832.00,760.00,2304.00,0.00,56.00,0.00,15524.00
1974:Q4,74728.00,69488.00,1296.00,84.00,3860.00,74728.00,46320.00,6628.00,5676.00,952.00,-52.00,6312.00,6576.00,2504.00,680.00,3336.00,0.00,56.00,0.00,8944.00
1975:Q1,101444.00,95068.00,716.00,300.00,5360.00,101444.00,107244.00,-2440.00,-2812.00,372.00,692.00,-10532.00,6104.00,2152.00,1072.00,2824.00,0.00,56.00,0.00,376.00
1975:Q2,93040.00,84972.00,2000.00,304.00,5764.00,93040.00,74052.00,9136.00,8788.00,348.00,-632.00,4164.00,3008.00,2624.00,-492.00,824.00,0.00,52.00,0.00,3312.00
1975:Q3,74616.00,65372.00,3856.00,332.00,5056.00,74616.00,63772.00,9612.00,9336.00,276.00,632.00,-1036.00,500.00,2724.00,-1384.00,-896.00,0.00,56.00,0.00,1136.00
1975:Q4,87872.00,74820.00,6964.00,336.00,5752.00,87872.00,79436.00,-428.00,-648.00,220.00,-312.00,996.00,7180.00,2488.00,-684.00,-676.00,0.00,52.00,6000.00,1000.00
1976:Q1,112352.00,109208.00,-2456.00,-28.00,5628.00,112352.00,111936.00,3732.00,3260.00,472.00,192.00,816.00,1252.00,2564.00,-424.00,-1736.00,0.00,48.00,800.00,-5576.00
1976:Q2,96908.00,90212.00,1440.00,-40.00,5296.00,96908.00,93056.00,6452.00,5608.00,844.00,416.00,-4460.00,3184.00,2204.00,272.00,-144.00,0.00,52.00,800.00,-1740.00
1976:Q3,85480.00,78780.00,1488.00,260.00,4952.00,85480.00,84548.00,-1772.00,-3540.00,1768.00,-616.00,4480.00,1780.00,1800.00,-312.00,-556.00,0.00,48.00,800.00,-2940.00
1976:Q4,135880.00,127296.00,1056.00,264.00,7264.00,135880.00,104856.00,15808.00,13284.00,2524.00,644.00,7652.00,4260.00,2172.00,372.00,-172.00,0.00,48.00,1840.00,2660.00
1977:Q1,145960.00,136924.00,1104.00,988.00,6944.00,145960.00,142180.00,-1468.00,-3312.00,1844.00,-564.00,4696.00,3324.00,2644.00,-200.00,-128.00,0.00,48.00,960.00,-2208.00
1977:Q2,105644.00,96776.00,1320.00,1200.00,6348.00,105644.00,81228.00,7500.00,5340.00,2160.00,880.00,3960.00,6248.00,2936.00,1212.00,456.00,0.00,44.00,1600.00,5828.00
1977:Q3,113156.00,104244.00,536.00,980.00,7396.00,113156.00,99960.00,5380.00,2428.00,2952.00,-200.00,8420.00,5072.00,3148.00,328.00,-52.00,0.00,48.00,1600.00,-5476.00
1977:Q4,130524.00,115108.00,5904.00,856.00,8656.00,130524.00,85416.00,25828.00,22236.00,3592.00,472.00,9732.00,5896.00,3292.00,-268.00,948.00,0.00,44.00,1880.00,3180.00
1978:Q1,139172.00,125416.00,3608.00,1556.00,8592.00,139172.00,113864.00,648.00,-1504.00,2152.00,-752.00,7900.00,10780.00,3792.00,1368.00,3460.00,0.00,40.00,2120.00,6732.00
1978:Q2,108056.00,97752.00,2044.00,2052.00,6208.00,108056.00,82952.00,3872.00,1224.00,2648.00,1444.00,7332.00,9404.00,3992.00,1140.00,1828.00,0.00,44.00,2400.00,3052.00
1978:Q3,110588.00,96792.00,7916.00,1568.00,4312.00,110588.00,90032.00,-592.00,-4480.00,3888.00,-420.00,8240.00,12408.00,3676.00,1572.00,3920.00,0.00,40.00,3200.00,920.00
1978:Q4,126992.00,109252.00,12116.00,1092.00,4532.00,126992.00,86340.00,20556.00,15664.00,4892.00,-16.00,5112.00,8708.00,4604.00,-328.00,1452.00,0.00,40.00,2940.00,6292.00
1979:Q1,98032.00,91628.00,952.00,456.00,4996.00,98032.00,83948.00,-2708.00,-8624.00,5916.00,-28.00,2068.00,12976.00,4268.00,1572.00,6436.00,0.00,40.00,660.00,1776.00
1979:Q2,42716.00,30364.00,6872.00,-40.00,5520.00,42716.00,38968.00,-2332.00,-8180.00,5848.00,152.00,-1988.00,11728.00,3800.00,388.00,6704.00,0.00,36.00,800.00,-3812.00
1979:Q3,116360.00,99536.00,9268.00,1612.00,5944.00,116360.00,74272.00,20388.00,14712.00,5676.00,96.00,-1088.00,17012.00,4148.00,844.00,11180.00,0.00,40.00,800.00,5680.00
1979:Q4,101796.00,102424.00,-2560.00,2256.00,-324.00,101796.00,78348.00,16568.00,11020.00,5548.00,40.00,-7468.00,13352.00,4720.00,1612.00,5796.00,0.00,36.00,1188.00,956.00
1980:Q1,101148.00,112212.00,-1316.00,728.00,-10476.00,101148.00,94712.00,-5592.00,-6664.00,1072.00,-392.00,-988.00,14444.00,3744.00,444.00,8612.00,0.00,32.00,1612.00,-1036.00
1980:Q2,100116.00,95488.00,-508.00,392.00,4744.00,100116.00,91124.00,-6084.00,-7912.00,1828.00,-604.00,-2724.00,14424.00,3476.00,-52.00,8964.00,0.00,36.00,2000.00,3980.00
1980:Q3,150716.00,122256.00,13424.00,564.00,14472.00,150716.00,134436.00,6232.00,2516.00,3716.00,920.00,-5076.00,17260.00,3284.00,12.00,11932.00,0.00,32.00,2000.00,-3056.00
1980:Q4,219824.00,197692.00,19972.00,1264.00,896.00,219824.00,165344.00,35724.00,30492.00,5232.00,-764.00,920.00,14584.00,5228.00,500.00,7348.00,0.00,32.00,1476.00,4016.00
1981:Q1,71308.00,62788.00,5252.00,2092.00,1176.00,71308.00,7428.00,25804.00,24048.00,1756.00,104.00,-2060.00,43500.00,4384.00,1692.00,34868.00,0.00,32.00,2524.00,-3468.00
1981:Q2,108956.00,102884.00,2664.00,3036.00,372.00,108956.00,86352.00,-520.00,-1764.00,1244.00,-264.00,1800.00,17388.00,3216.00,-1384.00,8248.00,0.00,28.00,7280.00,4200.00
1981:Q3,142300.00,124748.00,12368.00,2960.00,2224.00,142300.00,99812.00,-3932.00,-5112.00,1180.00,-360.00,728.00,48056.00,4932.00,2140.00,33832.00,0.00,32.00,7120.00,-2004.00
1981:Q4,142804.00,125332.00,10168.00,1848.00,5456.00,142804.00,72620.00,24320.00,22624.00,1696.00,-48.00,8488.00,27064.00,6064.00,-1932.00,15700.00,0.00,28.00,7204.00,10360.00
